,Title,Price
0,گوشی موبایل اپل مدل iPhone 13 CH/A Not Active ظرفیت 128 گیگابایت - رم 4 گیگابایت,36699000
1,گوشی موبایل اپل مدل iPhone 13 CH/A Not Active ظرفیت 256 گیگابایت - رم 4 گیگابایت,43299000
2,گوشی موبایل اپل مدل آیفون 13 پرو نات اکتیو ZD/A تک سیم کارت ظرفیت 1 ترابایت رم 6 گیگابایت,74320000
3,گوشی موبایل اپل مدل iPhone 13 CH/A نات اکتیو دو سیم کارت ظرفیت 128 گیگابایت رم 4 گیگابایت به همراه هدیه شارژر دیواری اپل مدل 20 وات دو شاخه,39500000
4,گوشی موبایل اپل مدل آیفون 13 پرو مکس نات اکتیو LL/A تک سیم کارت ظرفیت128 گیگابایت رم 6 گیگابایت,75999000
5,گوشی موبایل اپل iPhone 13 Pro ZD/A Not Active تک سیم کارت ظرفیت 512 گیگابایت رم 6 گیگابایت,72180000
6,گوشی موبایل اپل iPhone 13 Pro CH/A نات اکتیو دو سیم کارت ظرفیت 256 گیگابایت رم 6 گیگابایت,74999000
7,گوشی موبایل اپل مدل iPhone 13 Pro Max A2644 اکتیو دو سیم کارت ظرفیت 256 گیگابایت رم 6 گیگابایت,77280000
8,گوشی موبایل اپل مدل iPhone 13 Pro J/A نات اکتیو تک سیم کارت ظرفیت 512 گیگابایت رم 6 گیگابایت,80500000
9,گوشی موبایل اپل مدل iPhone 13 Pro LL/A نات اکتیو تک سیم کارت ظرفیت 128 گیگابایت رم 6 گیگابایت,69999000
