,Title,Price
0,گوشی موبايل سامسونگ مدل گلکسی A32 4G دو سیم کارت - ظرفیت 128 گیگابایت - رم 6 گیگابایت,12100000
1,گوشی موبايل سامسونگ مدل Galaxy A03 Core ظرفیت 32 گیگابایت - رم 2 گیگابایت,3103000
2,گوشی موبایل سامسونگ مدلGalaxy M13 ظرفیت 64 گیگابایت - رم 4 گیگابایت,5319000
3,گوشی موبايل سامسونگ مدل Galaxy S21 FE 5G ظرفیت 256 گیگابایت - رم 8 گیگابایت,18207000
4,گوشی موبايل سامسونگ مدل گلکسی A53 5G ظرفیت 256 گیگابایت - رم 8 گیگابایت,15806000
5,گوشی موبایل سامسونگ مدل Galaxy A14 ظرفیت 64 گیگابایت رم 4 گیگابایت,5189000
6,گوشی موبايل سامسونگ گلکسی M32 مدل SM-M325F/DS دو سیم کارت - ظرفیت 128 گیگابایت - رم 6 گیگابایت,8299000
7,گوشی موبایل سامسونگ مدل Galaxy A14 ظرفیت 64 گیگابایت رم 4 گیگابایت - ویتنام,5379000
8,گوشی موبايل سامسونگ مدل Galaxy A03s ظرفیت 32 گیگابایت - رم 3 گیگابایت,4028000
9,گوشی موبايل سامسونگ مدل Galaxy A23 ظرفیت 128 گیگابایت - رم 6 گیگابایت,9150000
10,گوشی موبايل سامسونگ گلکسی S21 FE 5G ظرفیت 256 گیگابایت رم 8 گیگابایت - ویتنام,19059000
11,گوشی موبايل سامسونگ مدل گلکسی A04 ظرفیت 32 گیگابایت رم 3 گیگابایت,3699000
12,گوشی موبايل سامسونگ گلکسی A04 ظرفیت 64 گیگابایت رم 4 گیگابایت,4399000
13,گوشی موبايل سامسونگ مدل گلکسی A53 5G ظرفیت 128 گیگابایت - رم 8 گیگابایت,13999000
14,گوشی موبایل سامسونگ گلکسی S23 Ultra 5G ظرفیت 256 گیگابایت رم 12 گیگابایت - ویتنام,48839000
15,گوشی موبايل سامسونگ مدل Galaxy A33 5G ظرفیت 128 گیگابایت - رم 6 گیگابایت,10699000
16,گوشی موبايل سامسونگ مدل Galaxy A33 5G ظرفیت 128 گیگابایت - رم 8 گیگابایت,12079000
17,گوشی موبايل سامسونگ مدل Galaxy A04e ظرفیت 32 گیگابایت رم 3 گیگابایت,3388000
18,گوشی موبايل سامسونگ مدل Galaxy F13 ظرفیت 64 گیگابایت - رم 4 گیگابایت,5586000
19,گوشی موبایل سامسونگ مدل Galaxy A14 ظرفیت 128 گیگابایت رم 4 گیگابایت,6059000
20,گوشی موبايل سامسونگ گلکسی M32 مدل SM-M325F/DS دو سیم کارت - ظرفیت 64 گیگابایت - رم 4 گیگابایت,6699000
21,گوشی موبايل سامسونگ گلکسی A34 5G (SM-A346E/DSN) ظرفیت 128 گیگابایت رم 8 گیگابایت - ویتنام,12249000
22,گوشی موبایل سامسونگ Galaxy A13 (SM-A135F/DS) ظرفیت 128 گیگابایت رم 4 گیگابایت - ویتنام,7399000
23,گوشی موبایل سامسونگ مدل Galaxy M13 ظرفیت 128 گیگابایت - رم 6 گیگابایت,6849000
24,گوشی موبايل سامسونگ مدل Galaxy M33 5G SM-M۳36BU/DS ظرفیت 128 گیگابایت - رم 6 گیگابایت,7999000
25,گوشی موبايل سامسونگ گلکسی A54 5G ظرفیت 256 گیگابایت رم 8 گیگابایت - ویتنام,17059000
26,گوشی موبايل سامسونگ مدل گلکسی A03 ظرفیت 64 گیگابایت - رم 4 گیگابایت,4199000
27,گوشی موبايل سامسونگ مدل Galaxy A04e ظرفیت 64 گیگابایت رم 3 گیگابایت,3595000
28,گوشی موبايل سامسونگ گلکسی A24 4G ظرفیت 128 گیگابایت رم 6 گیگابایت - ویتنام,8449000
