,Title,Price
0,گوشی موبایل شیائومی Redmi Note 11 ظرفیت 128 گیگابایت - رم 6 گیگابایت,7597000
1,گوشی موبایل شیائومی Redmi Note 12 4G (23021RAAEG) ظرفیت 128 گیگابایت رم 8 گیگابایت,7659000
2,گوشی موبایل شیائومی مدل Redmi 9A ظرفیت 32 گیگابایت رم 2 گیگابایت,3329000
3,گوشی موبایل شیائومی Redmi Note 11 Pro ظرفیت 128 گیگابایت - رم 8 گیگابایت,11249000
4,گوشی موبایل شیائومی مدل Redmi Note 11 ظرفیت 128 گیگابایت - رم 4 گیگابایت,6995000
5,گوشی موبایل شیائومی مدل Redmi 10C ظرفیت 128 گیگابایت - رم 4 گیگابایت,5050000
6,گوشی موبایل شیائومی Redmi Note 12 Pro (2209116AG) ظرفیت 256 گیگابایت رم 8 گیگابایت,10129000
7,گوشی موبایل شیائومی Poco X5 Pro 5G ظرفیت 256 گیگابایت رم 8 گیگابایت,13095000
8,گوشی موبایل شیائومی مدل Redmi 9C ظرفیت 64 گیگابایت رم 3 گیگابایت,4350000
9,گوشی موبایل شیائومی Poco C40 - ظرفیت 64 گیگابایت - رم 4 گیگابایت,4229000
10,گوشی موبایل شیائومی Redmi 12C (22120RN86G) ظرفیت 128 گیگابایت رم 6 گیگابایت,5189000
11,گوشی موبایل شیائومی مدل Redmi Note 12S ظرفیت 256 گیگابایت رم 8 گیگابایت,9100000
12,گوشی موبایل شیائومی مدل Redmi Note 11 Pro 5G ظرفیت 128 گیگابایت - رم 8 گیگابایت,11770000
13,گوشی موبایل شیائومی Redmi Note 11 Pro+ 5G ظرفیت 256 گیگابایت - رم 8 گیگابایت,13415000
14,گوشی موبایل شیائومی پوکو مدل M5s - ظرفیت 128 گیگابایت - رم 6 گیگابایت,7799000
15,گوشی موبایل شیائومی Redmi Note 10 Pro ظرفیت 128 گیگابایت - رم 6 گیگابایت,9699000
16,گوشی موبایل شیائومی Redmi 12C (22120RN86G) ظرفیت 128 گیگابایت رم 4 گیگابایت,4949000
17,گوشی موبایل شیائومی مدل Poco X4 Pro 5G - ظرفیت 128 گیگابایت - رم 6 گیگابایت,9949000
18,گوشی موبایل شیائومی مدل 12 لایت 5G ظرفیت 256 گیگابایت - رم 8 گیگابایت,14300000
19,گوشی موبایل شیائومی ردمی نوت 12 پرو 5G ظرفیت 256 گیگابایت رم 8 گیگابایت,12629000
20,گوشی موبایل شیائومی مدل Redmi 10A با ظرفیت 32 گیگابایت - رم 2 گیگابایت,3399000
21,گوشی موبایل شیائومی مدل Redmi 10A با ظرفیت 64 گیگابایت - رم 3 گیگابایت,4237000
22,گوشی موبایل شیائومی مدل 12 پرو ظرفیت 256 گیگابایت - رم 12 گیگابایت,30645000
