,phone,price
0,    13 promax 5G  1   6   ,146199000
1,    13 pro max 5G  128   6   ,101099000
2,    13 promax 5G  256   6   ,93099000
3,    13 promax 5G  512   6   ,87899000
4,    13 promax 5G  1   6    ,85599000
5,    13 promax 5G  256   6   ,82099000
6,    13 promax 5G  256   6   ,81799000
7,    13 pro 5G  256   6    ,76495000
8,    13 pro 5G  256   6   ,73099000
9,    13 pro  1   6    ,70785000
10,    13 pro 5G  512   6    ,70599000
11,    13 pro max 5G  128   6   ,70099000
12,    13 pro 5G  128   6   ,69499000
13,    13 5G  256   4   ,43299000
14,    13 5G  128   4   ,37891000
