,phone,price
0,    Redmi A2 plus 4G  64   3 ,3621000
1,    Poco F5 5G  256   12 ,17241000
2,    Xiaomi Poco M5s 4g  256   8  ,8791000
3,    Redmi Note 12s 4G  256   8 ,8911000
4,    Redmi Note 12 Pro 5G  256   8 ,12231000
5,    Redmi Note 12 Pro 4G  256   8 ,9741000
6,    Redmi Note 12 4G  128   4 ,7091000
7,    Redmi Note 12 4G  128   6 ,7491000
8,    Redmi Note 12 4G  128   8 ,7791000
9,    Redmi 10 Power 4G  128   8 ,8181000
10,    Redmi 12C 4G  128   6 ,5191000
11,    Redmi 12C 4G  64   4 ,5541000
12,    Redmi Note 12 Pro plus 5G  256   8 ,16531000
13,    Poco X5 5G  256   8 ,11149000
14,   Poco X5 Pro 5G  256   8 ,12991000
15,    Redmi Note 10 Pro 4G  256   8 ,10841000
16,    Redmi 10a 4G  128   4  ,5091000
17,    Xiaomi 12 Lite 5g  256   8  ,13791000
18,    Redmi Note 11SE 5g  128   8  ,7741000
19,    Xiaomi Poco C40 4G  64   4  ,4171000
20,    Xiaomi redmi note 11E 5G  128   4  ,6939000
21,    Xiaomi 12x  256   8 ,17299000
22,    Xiaomi 12x  128   8 ,15221000
23,    Poco X4 Pro 5G  256   8 ,12041000
24,    Redmi Note 11 4G  128   4 ,7171000
25,    Redmi Note 11 4G  128   6 ,7499000
26,    Redmi 10 4G  64   4 ,4939000
27,    Redmi Note 11s 4G  128   8 ,8911000
28,    Redmi Note 11 Pro 5G  128   8 ,10781000
29,    Poco C31 4G  64   4 ,4249000
30,    Mi 11 Ultra 5G  256   12 ,37461000
31,    Redmi 9a  32   2 ,3599000
