,model,Price
0,گوشی موبایل سامسونگ مدل Galaxy A03s دو سیم‌کارت ظرفیت 32 گیگابایت رم 3 گیگابایت,4550000 
1,گوشی موبایل سامسونگ Galaxy Z Fold3 ظرفیت 512 گیگابایت رم 12 گیگابایت با قابلیت 5G,59500000 
2,گوشی موبایل سامسونگ مدل Galaxy A03 Core دو سیم‌کارت ظرفیت 32 گیگابایت رم 2 گیگابایت,3180000 
3,گوشی موبایل سامسونگ مدل Galaxy S21 FE 5G دو سیم کارت ظرفیت 256 گیگابایت رم 8 گیگابایت با قابلیت 5G,17780000 
4,گوشی موبایل سامسونگ مدل Galaxy S22 PLUS 5G دو سیم‌کارت ظرفیت 256 گیگابایت رم 8 گیگابایت با قابلیت 5G,35500000 
5,گوشی موبایل سامسونگ مدل Galaxy S21 FE 5G دو سیم کارت ظرفیت 128 گیگابایت رم 8 گیگابایت با قابلیت 5G,18500000 
6,گوشی موبایل سامسونگ مدل Galaxy S22 Ultra 5G دو سیم‌کارت ظرفیت 512 گیگابایت رم 12 گیگابایت با قابلیت 5G,45400000 
7,گوشی موبایل سامسونگ مدل Galaxy A13 دو سیم کارت ظرفیت 64 گیگابایت رم 4 گیگابایت,7500000 
8,گوشی موبایل سامسونگ مدل Galaxy A53 5G دو سیم‌کارت ظرفیت 128 گیگابایت رم 8 گیگابایت با قابلیت 5G,15500000 
9,گوشی موبایل سامسونگ مدل Galaxy A53 5G دو سیم‌کارت ظرفیت 256 گیگابایت رم 8 گیگابایت با قابلیت 5G,15300000 
10,گوشی موبایل سامسونگ مدل Galaxy A03 دو سیم‌کارت ظرفیت 32 گیگابایت رم 3 گیگابایت,4150000 
11,گوشی موبایل سامسونگ مدل Galaxy S22 Ultra 5G دو سیم‌کارت ظرفیت 256 گیگابایت رم 12 گیگابایت با قابلیت 5G,45000000 
12,گوشی موبایل سامسونگ مدل Galaxy M33 5G دو سیم‌کارت ظرفیت 128 گیگابایت رم 6 گیگابایت با قابلیت 5G,8360000 
13,گوشی موبایل سامسونگ مدل Guru Music 2 SM-B315E دو سیم‌ کارت,1050000 
14,گوشی موبایل سامسونگ مدل Galaxy A03 دو سیم‌کارت ظرفیت 64 گیگابایت رم 4 گیگابایت,3890000 
15,گوشی موبایل سامسونگ مدل Samsung Galaxy Z Fold4 ظرفیت 256 گیگابایت رم 12 گیگابایت با قابلیت 5G,64500000 
16,گوشی موبایل سامسونگ مدل Galaxy A04s دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,5509000 
17,گوشی موبایل سامسونگ مدل Galaxy A04s دو سیم کارت ظرفیت 32 گیگابایت و رم 3 گیگابایت,4780000 
18,گوشی موبایل سامسونگ مدل Galaxy M13 دو سیم کارت ظرفیت 64 گیگابایت رم 4 گیگابایت,6360000 
19,گوشی موبایل سامسونگ مدل Galaxy F13 دو سیم کارت ظرفیت 128 گیگابایت رم 4 گیگابایت,6750000 
20,گوشی موبایل سامسونگ مدل Galaxy M13 دو سیم کارت ظرفیت 128 گیگابایت رم 6 گیگابایت,7500000 
21,گوشی موبایل سامسونگ مدل Galaxy A04 دو سیم کارت ظرفیت 32 گیگابایت و رم 3 گیگابایت,3540000 
22,گوشی موبایل سامسونگ مدل Galaxy A04 دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,4060000 
23,گوشی موبایل سامسونگ مدل Galaxy A04e دو سیم کارت ظرفیت 32 گیگابایت و رم 3 گیگابایت,3338000 
24,گوشی موبایل سامسونگ مدل Galaxy F13 دو سیم کارت ظرفیت 64 گیگابایت رم 4 گیگابایت,5800000 
25,گوشی موبایل سامسونگ مدل Galaxy S23 ULTRA دو سیم‌کارت ظرفیت 256 گیگابایت رم 12 گیگابایت با قابلیت 5G,48750000 
26,گوشی موبایل سامسونگ مدل Galaxy S23 ULTRA دو سیم‌کارت ظرفیت 512 گیگابایت رم 12 گیگابایت با قابلیت 5G,57500000 
27,گوشی موبایل سامسونگ مدل Galaxy A14 دو سیم کارت ظرفیت 64 گیگابایت و رم 4 گیگابایت,5600000 
28,گوشی موبایل سامسونگ مدل Galaxy A04e دو سیم کارت ظرفیت 64 گیگابایت و رم 3 گیگابایت,3600000 
29,گوشی موبایل سامسونگ مدل Galaxy A54 دو سیم کارت ظرفیت 128 گیگابایت و رم 8 گیگابایت با قابلیت 5G,15660000 
30,گوشی موبایل سامسونگ مدل Galaxy A54 دو سیم کارت ظرفیت 256 گیگابایت و رم 8 گیگابایت با قابلیت 5G,15400000 
31,گوشی موبایل سامسونگ مدل Galaxy A34 دو سیم کارت ظرفیت 128 گیگابایت و رم 8 گیگابایت با قابلیت 5G,12399000 
32,گوشی موبایل سامسونگ مدل Galaxy A24 دو سیم کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت,7800000 
33,گوشی موبایل سامسونگ مدل Galaxy A14 دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت,7300000 
34,گوشی موبایل سامسونگ مدل Galaxy A24 دو سیم کارت ظرفیت 128 گیگابایت و رم 6 گیگابایت,8778000 
35,گوشی موبایل سامسونگ مدل Galaxy A14 دو سیم کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت,6410000 
36,گوشی موبایل سامسونگ مدل Galaxy A24 دو سیم کارت ظرفیت 128 گیگابایت و رم 8 گیگابایت,8990000 
